0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:37:04 +0900] "GET /BBS/update.jsp?bbsID=12 HTTP/1.1" 200 3088
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:37:56 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4577
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:37:58 +0900] "GET /BBS/view.jsp?bbsID=12 HTTP/1.1" 200 3280
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:37:59 +0900] "GET /BBS/update.jsp?bbsID=12 HTTP/1.1" 200 3071
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:38:33 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:38:35 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4577
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:38:36 +0900] "GET /BBS/view.jsp?bbsID=12 HTTP/1.1" 200 3280
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:38:37 +0900] "GET /BBS/deleteAction.jsp?bbsID=12 HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:40:15 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:40:32 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:40:33 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4575
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:40:35 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:40:36 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2054
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:40:38 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:40:43 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 3628
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:42:34 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 234
0:0:0:0:0:0:0:1 - - [18/Aug/2021:10:42:49 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1887
